date,home,visitor,hgoal,vgoal,FT
2022-01-26,FC Barcelona,Bologna FC,5,4,1
2022-01-08,Real Sociedad,AC Milan,5,5,5
2021-06-29,Real Betis,AC Milan,3,3,4
2021-02-27,Cadiz CF,SSC Napoli,4,4,4
2021-12-02,FC Barcelona,Empoli FC,1,4,2
2022-03-26,FC Barcelona,Udinese Calcio,2,5,1
2021-08-18,Real Madrid,Bologna FC,5,0,5
2020-11-19,Real Madrid,AS Roma,0,1,5
2021-07-28,Villarreal CF,Inter,5,5,1
2022-01-28,Cadiz CF,Bologna FC,3,4,2
2020-11-26,Real Betis,Juventus,2,0,5
2020-09-13,Real Betis,SSC Napoli,5,4,2
2020-12-26,Athletic Bilbao,ACF Fiorentina,2,3,2
2020-12-31,	Valencia CF,Inter,2,5,3
2021-09-20,Atletico Madrid,Lazio Roma,5,2,0
2020-11-22,Sevilla FC,AC Milan,1,3,4
2021-12-04,Sevilla FC,Atalanta,3,2,5
2021-04-28,Real Madrid,Bologna FC,3,0,1
2022-02-16,Real Madrid,Bologna FC,1,0,0
2021-08-12,Granada CF,ACF Fiorentina,2,0,0
2020-11-06,Granada CF,Bologna FC,0,4,0
2022-05-22,Granada CF,Empoli FC,3,5,5
2021-06-09,Athletic Bilbao,Juventus,0,5,4
2021-04-06,Real Sociedad,Atalanta,0,5,0
2021-11-21,Villarreal CF,SSC Napoli,3,0,5
2022-05-05,Villarreal CF,Udinese Calcio,2,3,1
2021-06-30,Sevilla FC,Inter,4,4,3
2021-10-03,Real Betis,Lazio Roma,1,1,1
2021-06-01,Athletic Bilbao,Lazio Roma,4,0,4
2020-11-18,Real Madrid,Udinese Calcio,5,3,1
2021-01-09,Real Madrid,ACF Fiorentina,5,4,1
2022-03-30,Granada CF,Empoli FC,1,5,4
2021-09-03,Cadiz CF,Inter,3,2,3
2022-02-16,Atletico Madrid,Inter,1,0,2
2022-04-20,CA Osasuna,Juventus,1,5,5
2021-05-25,Real Madrid,Empoli FC,3,3,4
2021-08-26,Real Betis,ACF Fiorentina,3,3,5
2021-12-26,	Valencia CF,AC Milan,0,0,2
2020-12-08,Atletico Madrid,Udinese Calcio,2,5,3
2021-11-01,CA Osasuna,Genoa CFC,0,5,0
2020-09-22,Atletico Madrid,Inter,2,0,5
2022-04-20,Real Sociedad,Genoa CFC,2,2,3
2021-12-18,FC Barcelona,Juventus,5,3,5
2021-06-25,Real Madrid,Lazio Roma,2,4,1
2021-06-18,Granada CF,Udinese Calcio,5,5,0
2022-02-05,Cadiz CF,ACF Fiorentina,4,0,5
2021-05-11,Athletic Bilbao,Inter,1,0,4
2020-11-14,Athletic Bilbao,AC Milan,5,4,2
2021-08-05,Villarreal CF,ACF Fiorentina,0,2,3
2021-03-02,Cadiz CF,Lazio Roma,4,3,3
2021-07-06,Sevilla FC,Bologna FC,2,2,0
2021-02-18,Atletico Madrid,AC Milan,2,5,3
2022-02-22,Real Betis,Genoa CFC,5,1,3
2021-12-23,Sevilla FC,Genoa CFC,2,1,2
2021-09-30,Real Betis,Bologna FC,2,3,0
2021-09-11,Sevilla FC,Juventus,5,2,4
2022-04-25,Real Madrid,Bologna FC,0,1,3
2021-12-26,Real Madrid,AS Roma,2,3,5
2021-04-26,Real Madrid,AC Milan,2,3,2
2021-07-23,Atletico Madrid,AS Roma,5,4,3
2021-05-12,Real Sociedad,Genoa CFC,1,4,3
2021-06-03,	Valencia CF,SSC Napoli,4,0,3
2022-02-28,FC Barcelona,Juventus,4,4,2
2021-01-01,Sevilla FC,Genoa CFC,1,2,2
2021-12-11,Real Sociedad,Empoli FC,4,5,2
2020-12-13,FC Barcelona,Juventus,1,1,3
2022-01-13,	Valencia CF,Empoli FC,2,0,5
2020-10-29,Atletico Madrid,ACF Fiorentina,0,0,2
2022-01-06,	Valencia CF,Udinese Calcio,2,2,2
2021-05-17,Real Madrid,Udinese Calcio,5,1,1
2020-12-25,Cadiz CF,Empoli FC,5,1,3
2021-03-01,Villarreal CF,ACF Fiorentina,2,5,5
2021-12-14,Real Sociedad,Lazio Roma,4,2,3
2022-02-09,Villarreal CF,AS Roma,4,4,1
2021-07-20,Cadiz CF,Udinese Calcio,1,4,5
2022-03-27,Granada CF,Inter,3,4,3
2021-01-28,Real Madrid,Inter,2,5,4
2022-01-05,CA Osasuna,Atalanta,4,3,3
2021-05-19,Atletico Madrid,AC Milan,0,0,0
2022-05-01,Granada CF,Genoa CFC,0,5,4
2021-08-07,Sevilla FC,SSC Napoli,4,5,2
2021-03-25,Atletico Madrid,Inter,2,1,2
2020-12-19,Granada CF,AC Milan,1,3,0
2020-12-18,Sevilla FC,Atalanta,5,4,0
2020-11-08,Sevilla FC,Udinese Calcio,4,1,2
2021-11-09,Sevilla FC,Lazio Roma,5,3,3
2022-02-18,Sevilla FC,SSC Napoli,3,0,3
2020-09-19,Real Sociedad,Empoli FC,0,4,2
2021-05-27,Real Sociedad,Udinese Calcio,4,5,4
2021-05-31,FC Barcelona,Udinese Calcio,4,3,0
2022-05-03,Athletic Bilbao,AC Milan,0,4,4
2022-02-22,Granada CF,Atalanta,0,1,0
2021-04-05,	Valencia CF,Genoa CFC,4,5,0
2021-03-29,FC Barcelona,Bologna FC,5,4,3
2022-04-23,CA Osasuna,AC Milan,5,5,5
2021-12-14,	Valencia CF,Juventus,5,3,2
2021-05-03,Real Betis,AC Milan,3,0,3
2022-02-22,Real Betis,Empoli FC,5,1,2
2020-11-05,Real Sociedad,Atalanta,5,5,0
2022-02-24,Granada CF,Atalanta,5,1,1
