date,home_team,away_team,home_score,away_score,tournament,country
2022-01-02,Gabon,Burkina Faso,0,3,Friendly,United Arab Emirates
2022-01-02,Sudan,Zimbabwe,0,0,Friendly,Cameroon
2022-01-03,Rwanda,Guinea,3,0,Friendly,Rwanda
2022-01-04,Mauritania,Gabon,1,1,Friendly,United Arab Emirates
2022-01-05,Algeria,Ghana,3,0,Friendly,Qatar
2022-01-06,Rwanda,Guinea,0,2,Friendly,Rwanda
2022-01-12,Iceland,Uganda,1,1,Friendly,Turkey
2022-01-15,South Korea,Iceland,5,1,Friendly,Turkey
2022-01-16,Colombia,Honduras,2,1,Friendly,United States
2022-01-16,Peru,Panama,1,1,Friendly,Peru
2022-01-18,Moldova,Uganda,2,3,Friendly,Turkey
2022-01-20,South Korea,Moldova,4,0,Friendly,Turkey
2022-01-20,Peru,Jamaica,3,0,Friendly,Peru
2022-01-21,Bolivia,Trinidad and Tobago,5,0,Friendly,Bolivia
2022-01-21,Iraq,Uganda,1,0,Friendly,Iraq
2022-01-27,Bahrain,Uganda,3,1,Friendly,Bahrain
2022-01-27,Indonesia,Timor-Leste,4,1,Friendly,Indonesia
2022-01-27,Uzbekistan,South Sudan,3,0,Friendly,United Arab Emirates
2022-01-28,Jordan,New Zealand,3,1,Friendly,United Arab Emirates
2022-01-28,Suriname,Barbados,1,0,Friendly,Suriname
2022-01-29,Kuwait,Libya,2,0,Friendly,Kuwait
2022-01-29,Nepal,Mauritius,1,0,Friendly,Nepal
2022-01-29,Nicaragua,Belize,4,0,Friendly,Nicaragua
2022-01-30,Indonesia,Timor-Leste,3,0,Friendly,Indonesia
2022-02-01,Bahrain,DR Congo,1,0,Friendly,Bahrain
2022-02-01,Kuwait,Libya,0,2,Friendly,Kuwait
2022-02-01,Nepal,Mauritius,1,0,Friendly,Nepal
2022-02-01,Nicaragua,Belize,1,1,Friendly,Nicaragua
2022-02-01,Suriname,Guyana,2,1,Friendly,Suriname
2022-03-18,Iraq,Zambia,3,1,Friendly,Iraq
2022-03-19,Mauritius,Seychelles,0,0,Friendly,Mauritius
2022-03-23,Bahrain,India,2,1,Friendly,Bahrain
2022-03-23,Gibraltar,Grenada,0,0,Friendly,Gibraltar
2022-03-23,Guinea-Bissau,Equatorial Guinea,3,0,Friendly,Portugal
2022-03-23,Guadeloupe,Cape Verde,0,2,Friendly,France
2022-03-23,Laos,Mongolia,1,0,Friendly,Laos
2022-03-23,Malaysia,Philippines,2,0,Friendly,Singapore
2022-03-23,Mozambique,Niger,1,1,Friendly,Mauritania
2022-03-23,Tanzania,Central African Republic,3,1,Friendly,Tanzania
2022-03-24,Armenia,Montenegro,1,0,Friendly,Armenia
2022-03-24,Guatemala,Cuba,1,0,Friendly,Guatemala
2022-03-24,Hungary,Serbia,0,1,Friendly,Hungary
2022-03-24,Kosovo,Burkina Faso,5,0,Friendly,Kosovo
2022-03-24,Liberia,Benin,0,4,Friendly,Turkey
2022-03-24,Maldives,Bangladesh,2,0,Friendly,Maldives
2022-03-24,Scotland,Poland,1,1,Friendly,Scotland
