Date,home,visitor,hgoal,vgoal,FT,Season,result
2019-08-24,Parma FC,Juventus,0,1,0-1,2019,A
2019-08-24,ACF Fiorentina,SSC Napoli,3,4,3-4,2019,A
2019-08-25,Udinese Calcio,AC Milan,1,0,1-0,2019,H
2019-08-25,Cagliari Calcio,Brescia Calcio,0,1,0-1,2019,A
2019-08-25,AS Roma,Genoa CFC,3,3,3-3,2019,D
2019-08-25,Sampdoria,Lazio Roma,0,3,0-3,2019,A
2019-08-25,SPAL 1907 Ferrara,Atalanta,2,3,2-3,2019,A
2019-08-25,Torino FC,Sassuolo Calcio,2,1,2-1,2019,H
2019-08-25,Hellas Verona,Bologna FC,1,1,1-1,2019,D
2019-08-26,Inter,US Lecce,4,0,4-0,2019,H
2019-08-30,Bologna FC,SPAL 1907 Ferrara,1,0,1-0,2019,H
2019-08-31,AC Milan,Brescia Calcio,1,0,1-0,2019,H
2019-08-31,Juventus,SSC Napoli,4,3,4-3,2019,H
2019-09-01,Lazio Roma,AS Roma,1,1,1-1,2019,D
2019-09-01,Atalanta,Torino FC,2,3,2-3,2019,A
2019-09-01,Cagliari Calcio,Inter,1,2,1-2,2019,A
2019-09-01,Genoa CFC,ACF Fiorentina,2,1,2-1,2019,H
2019-09-01,US Lecce,Hellas Verona,0,1,0-1,2019,A
2019-09-01,Sassuolo Calcio,Sampdoria,4,1,4-1,2019,H
2019-09-01,Udinese Calcio,Parma FC,1,3,1-3,2019,A
2019-09-14,ACF Fiorentina,Juventus,0,0,0-0,2019,D
2019-09-14,SSC Napoli,Sampdoria,2,0,2-0,2019,H
2019-09-14,Inter,Udinese Calcio,1,0,1-0,2019,H
2019-09-15,Genoa CFC,Atalanta,1,2,1-2,2019,A
2019-09-15,Brescia Calcio,Bologna FC,3,4,3-4,2019,A
2019-09-15,Parma FC,Cagliari Calcio,1,3,1-3,2019,A
2019-09-15,SPAL 1907 Ferrara,Lazio Roma,2,1,2-1,2019,H
2019-09-15,AS Roma,Sassuolo Calcio,4,2,4-2,2019,H
2019-09-15,Hellas Verona,AC Milan,0,1,0-1,2019,A
2019-09-16,Torino FC,US Lecce,1,2,1-2,2019,A
2019-09-20,Cagliari Calcio,Genoa CFC,3,1,3-1,2019,H
2019-09-21,Udinese Calcio,Brescia Calcio,0,1,0-1,2019,A
2019-09-21,Juventus,Hellas Verona,2,1,2-1,2019,H
2019-09-21,AC Milan,Inter,0,2,0-2,2019,A
2019-09-22,Sassuolo Calcio,SPAL 1907 Ferrara,3,0,3-0,2019,H
2019-09-22,Bologna FC,AS Roma,1,2,1-2,2019,A
2019-09-22,US Lecce,SSC Napoli,1,4,1-4,2019,A
2019-09-22,Sampdoria,Torino FC,1,0,1-0,2019,H
2019-09-22,Atalanta,ACF Fiorentina,2,2,2-2,2019,D
2019-09-22,Lazio Roma,Parma FC,2,0,2-0,2019,H
2019-09-24,Hellas Verona,Udinese Calcio,0,0,0-0,2019,D
2019-09-24,Brescia Calcio,Juventus,1,2,1-2,2019,A
2019-09-25,AS Roma,Atalanta,0,2,0-2,2019,A
2019-09-25,ACF Fiorentina,Sampdoria,2,1,2-1,2019,H
2019-09-25,Genoa CFC,Bologna FC,0,0,0-0,2019,D
2019-09-25,Inter,Lazio Roma,1,0,1-0,2019,H
2019-09-25,SSC Napoli,Cagliari Calcio,0,1,0-1,2019,A
2019-09-25,Parma FC,Sassuolo Calcio,1,0,1-0,2019,H
2019-09-25,SPAL 1907 Ferrara,US Lecce,1,3,1-3,2019,A
2019-09-26,Torino FC,AC Milan,2,1,2-1,2019,H
2019-09-28,Juventus,SPAL 1907 Ferrara,2,0,2-0,2019,H
2019-09-28,Sampdoria,Inter,1,3,1-3,2019,A
2019-09-28,Sassuolo Calcio,Atalanta,1,4,1-4,2019,A
