date,home,visitor,hgoal,vgoal,FT,Season,result
2019-08-16,Athletic Bilbao,FC Barcelona,1,0,1-0,2019,H
2019-08-17,Celta Vigo,Real Madrid,1,3,1-3,2019,A
2019-08-17,Valencia CF,Real Sociedad,1,1,1-1,2019,D
2019-08-17,RCD Mallorca,SD Eibar,2,1,2-1,2019,H
2019-08-17,CD Leganes,CA Osasuna,0,1,0-1,2019,A
2019-08-17,Villarreal CF,Granada CF,4,4,4-4,2019,D
2019-08-18,CD Alaves,Levante UD,1,0,1-0,2019,H
2019-08-18,Espanyol Barcelona,Sevilla FC,0,2,0-2,2019,A
2019-08-18,Real Betis,Real Valladolid,1,2,1-2,2019,A
2019-08-18,Atletico Madrid,Getafe CF,1,0,1-0,2019,H
2019-08-23,Granada CF,Sevilla FC,0,1,0-1,2019,A
2019-08-23,Levante UD,Villarreal CF,2,1,2-1,2019,H
2019-08-24,CA Osasuna,SD Eibar,0,0,0-0,2019,D
2019-08-24,Real Madrid,Real Valladolid,1,1,1-1,2019,D
2019-08-24,Celta Vigo,Valencia CF,1,0,1-0,2019,H
2019-08-24,Getafe CF,Athletic Bilbao,1,1,1-1,2019,D
2019-08-25,CD Alaves,Espanyol Barcelona,0,0,0-0,2019,D
2019-08-25,RCD Mallorca,Real Sociedad,0,1,0-1,2019,A
2019-08-25,CD Leganes,Atletico Madrid,0,1,0-1,2019,A
2019-08-25,FC Barcelona,Real Betis,5,2,5-2,2019,H
2019-08-30,Sevilla FC,Celta Vigo,1,1,1-1,2019,D
2019-08-30,Athletic Bilbao,Real Sociedad,2,0,2-0,2019,H
2019-08-31,CA Osasuna,FC Barcelona,2,2,2-2,2019,D
2019-08-31,Getafe CF,CD Alaves,1,1,1-1,2019,D
2019-08-31,Levante UD,Real Valladolid,2,0,2-0,2019,H
2019-08-31,Real Betis,CD Leganes,2,1,2-1,2019,H
2019-09-01,Valencia CF,RCD Mallorca,2,0,2-0,2019,H
2019-09-01,Atletico Madrid,SD Eibar,3,2,3-2,2019,H
2019-09-01,Espanyol Barcelona,Granada CF,0,3,0-3,2019,A
2019-09-01,Villarreal CF,Real Madrid,2,2,2-2,2019,D
2019-09-13,RCD Mallorca,Athletic Bilbao,0,0,0-0,2019,D
2019-09-14,Real Madrid,Levante UD,3,2,3-2,2019,H
2019-09-14,CD Leganes,Villarreal CF,0,3,0-3,2019,A
2019-09-14,Real Sociedad,Atletico Madrid,2,0,2-0,2019,H
2019-09-14,FC Barcelona,Valencia CF,5,2,5-2,2019,H
2019-09-15,SD Eibar,Espanyol Barcelona,1,2,1-2,2019,A
2019-09-15,CD Alaves,Sevilla FC,0,1,0-1,2019,A
2019-09-15,Celta Vigo,Granada CF,0,2,0-2,2019,A
2019-09-15,Real Valladolid,CA Osasuna,1,1,1-1,2019,D
2019-09-15,Real Betis,Getafe CF,1,1,1-1,2019,D
2019-09-20,CA Osasuna,Real Betis,0,0,0-0,2019,D
2019-09-21,Villarreal CF,Real Valladolid,2,0,2-0,2019,H
2019-09-21,Levante UD,SD Eibar,0,0,0-0,2019,D
2019-09-21,Atletico Madrid,Celta Vigo,0,0,0-0,2019,D
2019-09-21,Granada CF,FC Barcelona,2,0,2-0,2019,H
2019-09-22,Getafe CF,RCD Mallorca,4,2,4-2,2019,H
2019-09-22,Espanyol Barcelona,Real Sociedad,1,3,1-3,2019,A
2019-09-22,Valencia CF,CD Leganes,1,1,1-1,2019,D
2019-09-22,Athletic Bilbao,CD Alaves,2,0,2-0,2019,H
2019-09-22,Sevilla FC,Real Madrid,0,1,0-1,2019,A
